ID,Ilac_Adi,Etkin_Madde,Firma
13993,TOPAMAX 200 MG FILM KAPLI TABLET,TOPIRAMAT,JOHNSON AND JOHNSON SIHHİ MAL. SAN. VE TİC. LTD. ŞTİ.
13994,TOPAMAX 25 MG FILM KAPLI TABLET,TOPIRAMAT,JOHNSON AND JOHNSON SIHHİ MAL. SAN. VE TİC. LTD. ŞTİ.
13995,TOPAMAX 50 MG FILM KAPLI TABLET,TOPIRAMAT,JOHNSON AND JOHNSON SIHHİ MAL. SAN. VE TİC. LTD. ŞTİ.
13996,TOPİCLİN % 0.03 MERHEM,TAKROLİMUS MONOHİDRAT,SOLEBİO İLAÇ SANAYİ İTHALAT İHRACAT A.Ş.
13997,TOPİCLİN % 0.1 MERHEM,TAKROLİMUS MONOHİDRAT,SOLEBİO İLAÇ SANAYİ İTHALAT İHRACAT A.Ş.
13998,"TOPIKAZOL %1 DERI SPREYI, ÇöZELTI",EKONAZOL NITRAT,ORVA İLAÇ SAN. VE TİC. A.Ş.
13999,TOPIKAZOL %1 KREM,EKONAZOL NITRAT,ORVA İLAÇ SAN. VE TİC. A.Ş.
14000,TOPİMOL 100 MG FİLM KAPLI TABLET,TOPİRAMAT,NEUTEC İLAÇ SAN. TİC. A.Ş.
14001,TOPİMOL 200 MG FİLM KAPLI TABLET,TOPİRAMAT,NEUTEC İLAÇ SAN. TİC. A.Ş.
14002,TOPİMOL 25 MG FİLM KAPLI TABLET,TOPİRAMAT,NEUTEC İLAÇ SAN. TİC. A.Ş.
14003,TOPİMOL 50 MG FİLM KAPLI TABLET,TOPİRAMAT,NEUTEC İLAÇ SAN. TİC. A.Ş.
14004,TOPOTU 4 MG / 4 ML KONSANTRE İNFÜZYON ÇÖZELTİSİ,TOPOTEKAN HİDROKLORÜR,ONKO İLAÇ SAN. VE TİC. A.Ş.
14005,TOPOXIN 4 MG IV İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN LİYOFİLİZE TOZ,TOPOTEKAN HCL,VEM İLAÇ SAN. VE TİC. A.Ş
14006,TOPRAMOXİN  250  MG  KAPSüL,AMOKSISILIN TRIHIDRAT,TOPRAK İLAÇ VE KİMYEVİ MAD. SAN. VE TİC A.Ş.
14007,TOPRAMOXİN 1000 MG FILM TABLET,AMOKSISILIN TRIHIDRAT,TOPRAK İLAÇ VE KİMYEVİ MAD. SAN. VE TİC A.Ş.
14008,TOPRAMOXİN 125 MG/ 5 ML ORAL SüSPANSIYON,AMOKSISILIN TRIHIDRAT,TOPRAK İLAÇ VE KİMYEVİ MAD. SAN. VE TİC A.Ş.
14009,TOPRAMOXİN 500 MG FILM TABLET,AMOKSISILIN TRIHIDRAT,TOPRAK İLAÇ VE KİMYEVİ MAD. SAN. VE TİC A.Ş.
14010,TOPRAMOXİN FORTE 250 MG/ 5 ML ORAL SüSPANSIYON HAZıRLAMAK  IçIN  KURU  TOZ,AMOKSISILIN TRIHIDRAT,TOPRAK İLAÇ VE KİMYEVİ MAD. SAN. VE TİC A.Ş.
14011,TOPSİLİN 1000 MG IM/IV ENJEKSİYONLUK FLAKON,AMPİSİLİN,TOPRAK İLAÇ VE KİMYEVİ MAD. SAN. VE TİC. A.Ş.
14012,TOPSİLİN 250 MG IM/IV ENJEKSİYONLUK FLAKON,AMPİSİLİN,TOPRAK İLAÇ VE KİMYEVİ MAD. SAN. VE TİC. A.Ş.
14013,TOPSİLİN 500 MG IM/IV ENJEKSİYONLUK FLAKON,AMPİSİLİN,TOPRAK İLAÇ VE KİMYEVİ MAD. SAN. VE TİC. A.Ş.
14014,TOREDA SR 4 MG UZATıLMış SALıMLı SERT KAPSüL,TOLTERODIN TARTARAT,Biofarma İlaç San. ve Tic. A.Ş.
14015,TORİA 25 MG KAPSÜL,PREGABALİN,TRIPHARMA İLAÇ SANAYİ VE TİCARET A.Ş
14016,TORİA 75 MG KAPSÜL,PREGABALİN,TRIPHARMA İLAÇ SANAYİ VE TİCARET A.Ş
14017,TORİSEL 25 MG/ML IV İNFÜZYONLUK ÇÖZELTI İÇEREN FLAKON,TEMSİROLİMUS,PFIZER PFE İLAÇLARI A.Ş.
14018,TORK 20 MG FILM KAPLI TABLET,TADALAFIL,BİLİM İLAÇ SAN. VE TİC. A.Ş.
14019,TOROL 10 MG TABLET,KETOROLAK TROMETAMİN,NOBEL İLAÇ SAN. VE TİC. A.Ş.
14020,TOROL 30 MG/ML AMPUL,KETOROLAK TROMETAMİN,NOBEL İLAÇ SAN. VE TİC. A.Ş.
14021,TORVENTA 10 MG TABLET,TORASEMID,World Medicine İlaç San. ve Tic. A.Ş.
14022,TORVENTA 20 MG TABLET,TORASEMID,World Medicine İlaç San. ve Tic. A.Ş.
14023,TORVENTA 200 MG TABLET,TORASEMİD,WORLD MEDICINE İLAÇ SAN. VE TİC. A.Ş.
14024,TORVENTA 5 MG TABLET,TORASEMID,World Medicine İlaç San. ve Tic. A.Ş.
14025,TOSITIN  10  MG  FILM  KAPLı  TABLET,TOFASITINIB SITRAT,ATABAY KİMYA SAN. VE TİC. A.Ş.
14026,TOSİTİN 5 MG FILM KAPLı TABLET,TOFASITINIB SITRAT,ATABAY KİMYA SANAYİ VE TİC. A.Ş.
14027,TOUJEO 300 U/ML SOLOSTAR SC ENJEKSİYONLUK ÇÖZELTİ İÇEREN KULLANIMA HAZIR ENJEKSİYON KALEMİ,İNSÜLİN GLARJİN,SANOFİ SAĞLIK ÜRÜNLERİ LTD.ŞTİ.
14028,TOUSSER 30MG/5ML ŞURUP,LEVODROPROPIZIN,ALFAFARMA İLAÇ SAN. TİC. LTD. ŞTİ.
14029,TOUSSER 30MG/5ML ŞURUP,LEVODROPROPIZIN,ALFAFARMA İLAÇ SAN. TİC. LTD. ŞTİ.
14030,TOVIAZ 4MG UZATILMIŞ SALIMLI TABLET,FESOTERODIN FUMARAT,PFİZER İLAÇLARI LTD. ŞTİ.
14031,TOVIAZ 8 MG UZATILMIŞ SALIMLI TABLET,FESOTERODİN FUMARAT,PFİZER PFE İLAÇLARI A.Ş.
14032,TOXICARB 12 G/60 ML ORAL SÜSPANSIYON,AKTIF KÖMÜR,KEYMEN İLAÇ SANAYİ VE TİCARET A.Ş.
14033,TRACLEER 125 MG FİLM TABLET ((PATHEON INC.),BOSENTAN,JOHNSON AND JOHNSON SIHHİ MAL. SAN. VE TİC. LTD. ŞTİ.
14034,TRACLEER 125 MG FİLM TABLET (HAUPT PHARMA WUELFİNG GMBH),BOSENTAN,JOHNSON AND JOHNSON SIHHİ MALZEME SAN. VE TİC. LTD. ŞTİ.
14035,TRACLEER 62.5 MG FİLM TABLET (PATHEON INC.),BOSENTAN,JOHNSON AND JOHNSON SIHHİ MAL. SAN. VE TİC. LTD. ŞTİ.
14036,TRACLEER 62.5 MG FİLM TABLET(HAUPT PHARMA WUELFİNG GMBH),BOSENTAN,JOHNSON AND JOHNSON SIHHİ MALZEME SAN. VE TİC. LTD. ŞTİ.
14037,TRACOVOL %1 + % 0.1 KREM,"İZOKONAZOL NITRAT, DIFLUKORTOLON VALERAT",Deva Holding A.Ş
14038,TRACTAN 125 MG FİLM KAPLI TABLET,BOSENTAN MONOHİDRAT,PHARMACTİVE İLAÇ SAN. VE TİC. A.Ş.
14039,TRACTAN 32 MG DAğıLABILIR TABLET,BOSENTAN MONOHIDRAT,HUMANİS SAĞLIK A.Ş.
14040,"TRACTAN 62,5 MG FİLM KAPLI TABLET",BOSENTAN MONOHİDRAT,PHARMACTİVE İLAÇ SAN. VE TİC. A.Ş.
