ID,Ilac_Adi,Etkin_Madde,Firma
2628,"CICLORES %0.05 GöZ DAMLASı, EMüLSIYON",SIKLOSPORIN,Saba İlaç San. Ve Tic. A.Ş.
2629,CIFLOSIN 100MG/50ML IV İNFÜZYON SOLÜSYONU,SIPROFLOKSASIN,DEVA HOLDİNG A.Ş.
2630,CIFLOSIN 200 MG/100 ML IV INFÜZYONLUK ÇÖZELTİ,SIFLOFLOKSASIN,DEVA HOLDİNG A.Ş.
2631,CIFLOSIN 400 MG/200 ML IV INFÜZYON SOLÜSYONU-KARTEPE,SIFLOFLOKSASIN,
2632,CIFLOSIN 400 MG/200 ML IV INFÜZYONLUK ÇÖZELTİ,SIFLOFLOKSASIN,DEVA HOLDİNG A.Ş.
2633,CİFLOSİN 500 MG FILM KAPLı TABLET,SIPROFLOKSASIN HIDROKLORüR MONOHIDRAT,DEVA HOLDİNG A.Ş.
2634,CIFLOSIN 750 MG FILM KAPLI TABLET,SIPROFLOKSASIN,DEVA HOLDİNG A.Ş.
2635,CİLAPEM  500  MG/500  MG  IV  İNFÜZYONLUK  ÇÖZELTİ  HAZIRLAMAK İÇİN TOZ,İMİPENEM / SİLASTATİNE,TÜM-EKİP İLAÇ A.Ş.
2636,CILAPEM 500 MG/500 MG IV İNFÜZYON İÇIN TOZ İÇEREN FLAKON,IMIPENEM MONOHIDRAT+SILASTATIN SODYUM,TÜM - EKİP İLAÇ A.Ş
2637,CİLOXAN %0.3  OFTALMİK MERHEM,SİPROFLOKSASİN HİDROKLORÜR,NOVARTİS SAĞLIK GIDA VE TARIM ÜRÜNLERİ SAN. VE TİC. A.Ş.
2638,CİLOXAN %0.3 STERİL OFTALMİK POMAD,SIPROFLOKSASIN HIDROKLORÜR,NOVARTİS SAĞLIK GIDA VE TARIM ÜRÜNLERİ SAN. VE TİC. A.Ş.
2639,CİMİDONA 13 MG TABLET,"13 MG CIMICIFUGA RACEMOSA (L.) NUTT. RİZOMUNUN STANDARDİZE KURU EKSTRESİ [≥%6 (K/K) TRİTERPEN GLİKOZİTLER, 4,5-8,5:1; %60 ETANOL (H/H)]",ABDİ İBRAHİM İLAÇ SAN. VE TİC. A.Ş.
2640,CIMLITROL 20 MG FILM KAPLı TABLET,VARDENAFIL,PHARMAPLACE İLAÇ TİCARET ANONİM ŞİRKETİ
2641,CIMZIA 200MG/ML ENJEKSIYONLUK ÇÖZELTİ İÇEREN S.C.  STERİL KULLANIMA HAZIR ENJEKTÖR,CERTOLIZUMAB PEGOL,UCB Pharma A.Ş.
2642,CİNESET 30 MG FİLM KAPLI TABLET,SİNAKALSET HİDROKLORÜR,NOBEL İLAÇ SAN. VE TİC. A.Ş.
2643,CİNESET 60 MG FİLM KAPLI TABLET,SİNAKALSET HİDROKLORÜR,NOBEL İLAÇ SAN. VE TİC A.Ş.
2644,CİNESET 90 MG FİLM KAPLI TABLET,SİNAKALSET HİDROKLORÜR,NOBEL İLAÇ SAN. VE TİC. A.Ş.
2645,CINETIX 400 MG EFERVESAN TABLET,ASETİLSİSTEİN,VİTALİS İLAÇ SAN. TİC. A.Ş.
2646,CINETIX 900 MG EFERVESAN TABLET,ASETILSISTEIN,VITALIS ILAÇ SAN. TIC. A.Ş.
2647,ÇİNKO OKSİT MERHEM,ÇİNKO OKSİT,BİKAR İLAÇ SAN. VE TİC. LTD. ŞTİ.
2648,ÇİNKOVİT 15 MG / 5 ML ŞURUP,ÇINKO SüLFAT HEPTAHIDRAT,İSTANBUL İLAÇ SANAYİ VE TİCARET A.Ş.
2649,ÇİNKOVİT FORT 30 MG/5 ML ŞURUP,ÇINKO SüLFAT HEPTAHIDRAT,İstanbul İlaç Sanayi ve Ticaret Anonim Şirketi
2650,CİNPEROX   %1+%5 JEL,"KLINDAMISIN FOSFAT, BENZOIL PEROKSIT (SULU)",Genveon İlaç Sanayi ve Tic. A.Ş.
2651,CINRYZE 500 U/5 ML IV ENJEKSİYONLUK ÇÖZELTİ İÇİN LİYOFİLİZE TOZ VE ÇÖZÜCÜ,C1 ESTERAZ İNHİBİTÖRÜ,TAKEDA İLAÇ SAĞLIK SANAYİ TİC. LTD. ŞTİ.
2652,CİNVEX 250 MCG/5 ML I.V. ENJEKSİYONLUK ÇÖZELTİ İÇEREN FLAKON,PALONOSETRON HİDROKLORÜR,ER-KİM İLAÇ SAN. VE TİC. A.Ş.
2653,CIOSA 350 MG ENJEKSİYONLUK/İNFÜZYONLUK ÇÖZELTİ HAZIRLAMADA KULLANILACAK KONSANTRE İÇİN TOZ,DAPTOMİSİN,Abdi İbrahim İlaç San. ve Tic. A.Ş.
2654,CIOSA 500 MG ENJEKSİYONLUK/İNFÜZYONLUK ÇÖZELTİ HAZIRLAMADA KULLANILACAK KONSANTRE İÇİN TOZ,DAPTOMİSİN,Abdi İbrahim İlaç San. ve Tic. A.Ş.
2655,CİPİNTU 10 MG/10 ML İNFÜZYON İÇİN KONSANTRE ÇÖZELTİ,SİSPLATİN,KOÇSEL İLAÇ SAN. VE TİC. A.Ş.
2656,CIPINTU 100 MG/100 ML İNFüZYON İçIN KONSANTRE ÇöZELTI,SISPLATIN,Koçsel İlaç Sanayi ve Ticaret A.Ş.
2657,Cipintu 25 mg/25 ml İnfüzyon İçin Konsantre Çözelti,SISPLATIN,KOÇSEL İLAÇ SAN. VE TİC. A.Ş.
2658,CIPINTU 50 MG/50 ML İNFüZYON İçIN KONSANTRE ÇöZELTI,SISPLATIN,Koçsel İlaç Sanayi ve Ticaret A.Ş.
2659,CIPRALEX 10 MG FILM KAPLI TABLET,ESSITALOPRAM,LUNDBECK İLAÇ TİC. LTD. ŞTİ.
2660,"CIPRALEX 10 MG/ML ORAL DAMLA, SOLÜSYON",ESSITALOPRAM,LUNDBECK İLAÇ TİC. LTD. ŞTİ.
2661,CIPRALEX 20 MG FILM KAPLI TABLET,ESSITALOPRAM,LUNDBECK İLAÇ TİC. LTD. ŞTİ.
2662,CİPRALEX 20 MG/ML ORAL DAMLA,ESSİTALOPRAM OKSALAT,LUNDBECK İLAÇ TİC. LTD.ŞTİ.
2663,CIPRALEX 5 MG FILM TABLET,ESSITALOPRAM,LUNDBECK İLAÇ TİC. LTD. ŞTİ.
2664,CIPRAM 20 MG FILM KAPLI TABLET,SITALOPRAM,LUNDBECK İLAÇ TİC.LTD.ŞTİ.
2665,CİPRASİD 500 MG FİLM TABLET,SİPROFLOKSASİN,RECORDATİ İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ
2666,CİPRASİD 750 MG FİLM TABLET,SİPROFLOKSASİN,RECORDATİ İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ
2667,CİPRO % 0.3 GÖZ DAMLASI,SİPROFLOKSASİN HİDROKLORÜR,BİOFARMA İLAÇ SAN. VE TİC. A.Ş.
2668,CİPRO 250 MG FİLM TABLET,SİPROFLOKSASİN HİDROKLORÜR,BİOFARMA İLAÇ SAN. VE TİC. A.Ş.
2669,CIPRO 500 MG FILM TABLET,SIPROFLOKSASIN HIDROKLORüR,BİOFARMA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ
2670,CİPRO 750 MG FİLM TABLET,SİPROFLOKSASİN HİDROKLORÜR,BİOFARMA İLAÇ SAN. VE TİC. A.Ş.
2671,CIPRO İ.V. 200MG İNFÜZYON İÇIN ÇÖZELTI İÇEREN FLAKON,SIPROFLOKSASIN LAKTAT,BİOFARMA İLAÇ SANAYİ VE TİCARET A.Ş.
2672,CIPRO İ.V. 400MG/200ML İNFÜZYON İÇIN ÇÖZELTI İÇEREN FLAKON,SIPROFLOKSASIN LAKTAT,BİOFARMA İLAÇ SANAYİ VE TİCARET A.Ş.
2673,CİPROCAM 200MG / 100 ML IV İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,HELBA İLAÇ İÇ VE DIŞ SAN.TİC. LTD. ŞTİ.
2674,CİPROCAM 400MG / 200 ML IV İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,HELBA İLAÇ İÇ VE DIŞ SAN. TİC. LTD. ŞTİ.
2675,CİPRODEKS 2MG/ML I.V. İNFüZYON İçIN ÇöZELTI,SIPROFLOKSASIN LAKTAT,POLİFARMA İLAÇ SAN. VE TİC. A.Ş.
2676,CİPROKTAN 200 MG/100 ML IV İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.
2677,CİPROKTAN 400 MG/200 ML IV İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.
2678,CİPROKTAN 500 MG FİLM KAPLI TABLET,SİPROFLAKSASİN HCL,KOÇAK FARMA İLAÇ VE KİMYA SAN.A.Ş.
2679,CİPRONATİN 200 MG/ 100 ML IV İNFÜZYON ÇÖZELTİSİ İÇEREN FLAKON,SİPROFLOKSASİN BAZ,ATABAY KİMYA SAN. VE TİC. A.Ş.
2680,CİPRONATİN 250 MG FİLM TABLET,SİPROFLOKSASİN,ATABAY KİMYA SAN. VE TİC. A.Ş.
2681,CİPRONATİN 400 MG/ 200 ML IV İNFÜZYON ÇÖZELTİSİ İÇEREN FLAKON,SİPROFLOKSASİN BAZ,ATABAY KİMYA SAN. VE TİC. A.Ş.
2682,CİPRONATİN 500 MG FİLM TABLET,SİPROFLOKSASİN,ATABAY İLAÇ KİMYA SAN VE TİC A.Ş.
2683,CİPRONATİN 750 MG FİLM TABLET,SİPROFLOKSASİN,ATABAY KİMYA SAN.VE TİC.A.Ş.
2684,CİPROPOL 2 MG/ML I.V. İNFÜZYON İÇİN ÇÖZELTİ,SİPROFLOKSASİN LAKTAT,POLİFARMA İLAÇ SAN. VE TİC. A.Ş.
2685,CIPROXIN 400MG/200ML I.V İNFÜZYON SOLÜSYONU,SIPROFLOKSASIN LAKTAT,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
2686,CIPROXIN İNFÜZYON 0.1G 1X50ML,SIPROFLOKSASIN LAKTAT,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
2687,CIPROXIN İNFÜZYON 0.2G 1X100ML,SIPROFLOKSASIN LAKTAT,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
2688,CIPROXIN XR 1000 MG MODIFIYE SALIM TABLETI - KT,"SIPROFLOKSASIN HIDROKLORÜR MONOHIDRAT, SIPROFLOKSASIN HIDRAT",BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
2689,CIRCADAY 3 MG TABLET,MELATONİN,ORZAKS İLAÇ VE KİMYA SAN.TİC.A.Ş.
2690,CISPLATIN DBL 10 MG/10 ML ENJEKTABL SOLÜSYON,SISPLATIN,ORNA İLAÇ TEKSTİL KİMYEVİ MAD. SAN. VE DIŞ TİC. LTD
2691,CISPLATIN DBL 100 MG/100 ML ENJEKTABL SOLÜSYON,SISPLATIN,ORNA İLAÇ TEKSTİL KİMYEVİ MAD. SAN. VE DIŞ TİC. LTD
2692,CISPLATIN DBL 50 MG/50 ML ENJEKTABL SOLÜSYON,SISPLATIN,ORNA İLAÇ TEKSTİL KİMYEVİ MAD. SAN. VE DIŞ TİC. LTD
2693,CİSPLATİN-KOÇAK 10 MG/20 ML IV İNFÜZYON İÇİN KONSANTRE SOLÜSYON İÇEREN FLAKON,SİSPLATİN,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.
2694,CİSPLATİN-KOÇAK 25 MG/50 ML IV İNFÜZYON İÇİN KONSANTRE SOLÜSYON İÇEREN FLAKON,SİSPLATİN,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.
2695,CİSPLATİN–KOÇAK 50 MG/100 ML IV İNFÜZYON İÇİN KONSANTRE SOLÜSYON İÇEREN FLAKON,SİSPLATİN,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.
2696,CISPLATINUM-ONKO INJECTION 10 MG/ 20 ML,SISPLATIN,ONKO İLAÇ SAN. VE TİC.A.Ş.
2697,CISPLATINUM-ONKO INJECTION 25 MG/ 50 ML,SISPLATIN,ONKO İLAÇ SAN. VE TİC.A.Ş.
2698,CISPLATINUM-ONKO INJECTION 50 MG/ 100 ML,SISPLATIN,ONKO İLAÇ SAN. VE TİC.A.Ş.
2699,CİSTEİL 1200 MG EFERVESAN GRANÜL İÇEREN SAŞE,ASETILSISTEIN,NEUTEC İLAÇ SAN. TİC. A.Ş.
2700,CITANEST %2  ENJEKSIYONLUK ÇöZELTI,PRILOKAIN HIDROKLORÜR,VLD DANIŞMANLIK TIBBİ ÜRÜNLER VE TANITIM HİZMETLERİ A.Ş.
2701,CİTARA 10 MG FİLM TABLET,SİTALOPRAM,ACTAVİS İLAÇLARI A.Ş.
2702,CITAZON 150 MG TABLET,TIYOASETAZON,KOÇAK FARMA İLAÇ VE KİMYA SAN. A.Ş.
2703,CİTEXAM 20 MG FİLM TABLET,SİTALOPRAM HİDROBROMÜR,KOÇAK FARMA İLAÇ VE KİMYA SAN.A.Ş.
2704,CİTEXAM 40 MG FİLM TABLET,SİTALOPRAM HİDROBROMÜR,KOÇAK FARMA İLAÇ VE KİMYA SAN.A.Ş.
2705,CITICOR  1000  MG/4  ML  IM/IV  ENJEKSIYONLUK   ÇöZELTI,SITIKOLIN SODYUM,DR. SERTUS İLAÇ SAN. VE TİC. LTD. ŞTİ.
2706,CİTOL 20 MG FİLM TABLET,SITALOPRAM HIDROBROMüR,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş
2707,CİTOL 40 MG FİLM TABLET,SITALOPRAM HIDROBROMüR,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş
2708,CİTOLES 10 MG FILM KAPLı TABLET,ESSITALOPRAM OKSALAT,Abdi İbrahim İlaç Sanayi ve Tic. A.Ş.
2709,"CITOLES 10MG/ML ORAL DAMLA, ÇÖZELTİ",ESSITALOPRAM,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş
2710,CİTOLES 15 MG FİLM KAPLI TABLET,ESSİTALOPRAM  OKSALAT,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş
2711,CİTOLES 20 MG FILM KAPLı TABLET,ESSITALOPRAM OKSALAT,Abdi İbrahim İlaç Sanayi ve Tic. A.Ş.
2712,CITOLES 20MG FILM TABLET,ESSITALOPRAM,ABDI IBRAHIM ILAÇ SAN.TIC.A.Ş.
2713,CITOLES 5 MG FILM KAPLI TABLET,ESSITALOPRAM OKSALAT,ABDİ İBRAHİM İLAÇ SAN. VE TİC. A.Ş.
2714,CİTOLİXİN 20 MG FİLM TABLET,SİTALOPRAM HİDROBROMÜR,RECORDATİ İLAÇ SANAYİ VE TİC. A.Ş
2715,CİTOLİXİN 40 MG FİLM TABLET,SİTALOPRAM HİDROBROMÜR,RECORDATİ İLAÇ SANAYİ VE TİC. A.Ş.
2716,CİTOVİR 450 MG FİLMTABLET,VALGANSİKLOVİR HİDROKLORÜR,FARMA-TEK İLAÇ SAN. VE TİC. A.Ş.
2717,CITRAFLEET 0.01 G/ 3050 G/ 10.97 G ORAL ÇÖZELTİ HAZIRLAMAK İÇİN TOZ İÇEREN SAŞE,SODYUM PİKOSÜLFAT + HAFİF MAGNEZYUM OKSİT + SUSUZ SİTRİK ASİT,RECORDATİ İLAÇ SAN. VE TİC. A.Ş.
2718,CİTREX 10 MG FİLM TABLET,SİTALOPRAM HİDROBROMÜR,DEVA
2719,CİTREX 20 MG FİLM TABLET,SİTALOPRAM HİDROBROMÜR,DEVA
2720,CİTREX 40 MG FİLM TABLET,SİTALOPRAM HİDROBROMÜR,DEVA
2721,CİTREX 40 MG/ML ORAL DAMLA,SİTOLOPRAM HİDROKLORÜR,DEVA HOLDİNG A.Ş.
2722,CLABEL 250 MG / 5 ML SÜSPANSİYON HAZIRLAMAK İÇİN KURU TOZ,KLARİTROMİSİN,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ.
2723,CLABEL 500 MG FİLM KAPLI TABLET,KLARİTROMİSİN,NOBEL İLAÇ SAN. VE TİC. A.Ş.
2724,"CLAFORAN 0,25 G / 2 ML IM/IV ENJEKSİYONLUK TOZ VE ÇÖZÜCÜ",SEFOTAKSİM SODYUM,SANOFİ SAĞLIK ÜRÜNLERİ LTD.ŞTİ.
2725,"CLAFORAN 0,5 G IM/IV ENJEKSİYONLUK TOZ VE ÇÖZÜCÜ",SEFOTAKSIM SODYUM,SANOFİ SAĞLIK ÜRÜNLERİ LTD.ŞTİ.
2726,CLAFORAN 1G / 4 ML IM/IV ENJEKSİYONLUK TOZ VE ÇÖZÜCÜ,SEFOTAKSIM SODYUM,SANOFİ SAĞLIK ÜRÜNLERİ LTD.ŞTİ.
2727,CLAFORAN 2 G/40 ML IM/IV ENJEKSİYONLUK TOZ VE ÇÖZÜCÜ,SEFOTAKSİM SODYUM,SANOFİ SAĞLIK ÜRÜNLERİ LTD.ŞTİ.
2728,CLAFORAN 2G/10ML IM/IV ENJEKSİYONLUK TOZ VE ÇÖZÜCÜ,SEFOTAKSİM SODYUM,SANOFİ SAĞLIK ÜRÜNLERİ LTD.ŞTİ.
2729,"CLAIRYG 50 MG/ML, 100 ML İNFÜZYONLUK ÇÖZELTİ",NORMAL İNSAN İMMÜNOGLOBULİNİ,ER-KİM İLAÇ SANAYİ VE TİCARET A.Ş.
2730,"CLAIRYG 50 MG/ML, 200 ML İNFÜZYONLUK ÇÖZELTİ",NORMAL İNSAN İMMÜNOGLOBULİNİ,ER-KİM İLAÇ SANAYİ VE TİCARET A.Ş.
2731,"CLAIRYG 50 MG/ML, 400 ML İNFÜZYONLUK ÇÖZELTİ",NORMAL İNSAN İMMÜNOGLOBULİNİ,ER-KİM İLAÇ SANAYİ VE TİCARET A.Ş.
2732,CLAMİNE-T LOSYON,KLİNDAMİSİN FOSFAT,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş
2733,CLARİCİDE 250 MG FİLM TABLET,KLARİTROMİSİN,BİLİM İLAÇ SAN.VE TİC .A.Ş.
2734,CLARICIDE 500MG FILM TABLET,KLARITROMISIN,BİLİM İLAÇ SAN.VE TİC .A.Ş.
2735,CLARİSCAN 0.5 MMOL/ML ENJEKSİYONLUK ÇÖZELTİ,GADOTERİK ASİT,OPAKİM TIBBİ ÜRÜNLER  SANAYİ VE TİCARET A.Ş.
2736,CLARITINE 10 MG TABLET,LORATADIN,MERCK SHARP DOHME ILAÇLARI LTD. ŞTI.
2737,CLAROL 500 MG I.V. İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN LİYOFİLİZE TOZ VE ÇÖZÜCÜ,KLARİTROMİSİN,VEM İLAÇ SAN. VE TİC. A.Ş.
2738,CLASEM 125MG/5ML ORAL SÜSPANSİYON İÇİN TOZ,SEFDİNİR,GENVEON İLAÇ SAN. VE TİC. A.Ş.
2739,CLASEM 250 MG/5ML ORAL SÜSPANSİYON İÇİN TOZ,SEFDINIR,GENVEON İLAÇ SAN. VE TİC. A.Ş.
2740,CLASEM 300 MG KAPSÜL,SEFDİNİR,GENERİCA İLAÇ SAN. VE TİC. A.Ş.
2741,CLASEM 300 MG KAPSÜL,SEFDINIR,ADİLNA İLAÇ SAN. VE TİC. A.Ş.
2742,CLASEM 600 MG FİLM KAPLI TABLET,SEFDİNİR,GENERİCA İLAÇ SAN. VE TİC. A.Ş.
2743,CLAST 10 MG FILM KAPLI TABLET,MONTELUKAST SODYUM,NOBEL İLAÇ SAN. VE TİC. A.Ş.
2744,CLAST 4MG ÇIĞNEME TABLETI,MONTELUKAST SODYUM,NOBEL İLAÇ SAN. VE TİC. A.Ş.
2745,CLAST 5MG ÇIĞNEME TABLETI,MONTELUKAST SODYUM,NOBEL İLAÇ SAN. VE TİC. A.Ş.
2746,"CLAVOMED 125MG/31,25MG PEDİYATRİK ORAL SÜSPANSİYON HAZIRLAMAK İÇİN KURU TOZ",AMOKSİSİLİN TRİHİDRAT+POTASYUM KLAVULANAT,WORLD MEDİCİNE SAN. VE TİC. A.Ş.
2747,"CLAVOMED FORTE 250MG/62,5MG ORAL SÜSPANSİYON HAZIRLAMAK İÇİN KURU TOZ",AMOKSİSİLİN TRİHİDRAT+POTASYUM KLAVULANAT,WORLD MEDİCİNE SAN. VE TİC. A.Ş.
2748,CLAXOM 50 MG IV İNFÜZYONLUK ÇÖZELTİ HAZIRLAMADA KULLANILACAK KONSANTRE İÇİN LİYOFİLİZE TOZ,KASPOFUNGİN ASETAT,Centurion İlaç San. ve Tic. A.Ş.
2749,CLAXOM 70 MG IV İNFÜZYONLUK ÇÖZELTİ HAZIRLAMADA KULLANILACAK KONSANTRE İÇİN LİYOFİLİZE TOZ,KASPOFUNGİN ASETAT,Centurion İlaç San. ve Tic. A.Ş.
2750,CLEANOMİSİN 500 MG FİLM TABLET,KLARİTROMİSİN,RECORDATİ İLAÇ SAN. VE TİC. A.Ş.
2751,CLENID 160 MCG İNHALASYON İçIN ÖLçüLü DOZLU AEROSOL,SIKLESONID,Neutec İnhaler İlaç San. ve Tic. A.Ş.
2752,CLENID 80 MCG İNHALASYON İçIN ÖLçüLü DOZLU AEROSOL,SIKLESONID,Neutec İnhaler İlaç San. ve Tic. A.Ş.
2753,CLEOCİN -T %1 TOPİKAL ÇÖZELTİ,KLİNDAMİSİN FOSFAT,PFIZER İLAÇLARI LTD. ŞTİ.
2754,CLEOCİN %2 VAJİNAL KREM,KLİNDAMİSİN FOSFAT,PFİZER PFE İLAÇLARI A.Ş.
2755,CLEOCİN 150 MG KAPSÜL,KLİNDAMİSİN HİDROKLORÜR,PFİZER İLAÇLARI
2756,CLEOCIN 75 MG/ML ORAL SÜSPANSIYON,KLINDAMISIN PALMITAT HIDROKLORÜR,PFİZER İLAÇLARI LTD. ŞTİ.
2757,CLEOCIN FOSFAT 600 MG IM/IV AMPUL,KLINDAMISIN FOSFAT,PFİZER İLAÇLARI LTD. ŞTİ.
2758,CLEOCİN FOSFAT 600 MG/4 ML IM/IV ENJEKSİYONLUK ÇÖZELTİ,KLİNDAMİSİN FOSFAT,PFIZER PFE İLAÇLARI A.Ş.
2759,CLEOCİN PEDİYATRİK 75 MG/5 ML ORAL SÜSPANSİYON HAZIRLAMAK İÇİN GRANÜL,KLİNDAMİSİN PALMİTAT HİDROKLORÜR,PFİZER PFE İLAÇLARI A.Ş.
2760,Clexane 10000 Anti-Xa/1 mL Enjeksiyonluk Çözelti İçeren Kullanıma Hazır Enjektör,ENOKSAPARIN SODYUM,SANOFI SAĞLIK ÜRÜNLERİ LTD. ŞTİ.
2761,"Clexane 120 Anti-Xa/0,8 mL Enjeksiyonluk Çözelti İçeren Kullanıma Hazır Enjektör",ENOKSAPARIN SODYUM,SANOFI SAĞLIK ÜRÜNLERİ LTD. ŞTİ.
2762,"Clexane 2000 Anti-Xa/0,2 mL Enjeksiyonluk Çözelti İçeren Kullanıma Hazır Enjektör",ENOKSAPARİN SODYUM,SANOFI SAĞLIK ÜRÜNLERİ LTD. ŞTİ.
2763,"CLEXANE 4000 ANTI-XA/0,4 ML ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR ENJEKTöR",ENOKSAPARIN SODYUM,SANOFI SAĞLIK ÜRÜNLERİ LTD. ŞTİ.
2764,"Clexane 6000 Anti-Xa/0,6 mL Enjeksiyonluk Çözelti İçeren Kullanıma Hazır Enjektör",ENOKSAPARIN SODYUM,SANOFI SAĞLIK ÜRÜNLERİ LTD. ŞTİ.
2765,"Clexane 8000 Anti-Xa/0,8 mL Enjeksiyonluk Çözelti İçeren Kullanıma Hazır Enjektör",ENOKSAPARIN SODYUM,SANOFI SAĞLIK ÜRÜNLERİ LTD. ŞTİ.
2766,CLİACİL 300.000 IÜ/5 ML ŞURUP HAZIRLAMAK İÇİN KURU TOZ,FENOKSİMETİLPENİSİLİN POTASYUM,SANOFİ SAĞLIK ÜRÜNLERİ LTD. ŞTİ.
2767,"CLIMARA 3,9 MG/12.5 CM 2   TRANSDERMAL FLASTER",ESTRADIOL HEMIHIDRAT,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
2768,"CLIMARA FORTE 7,8 MG/25 CM 2   TRANSDERMAL FLASTER",ESTRADIOL HEMIHIDRAT,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
2769,CLİMEN  2MG +2 MG/1MG KAPLI TABLET,"ESRTADİOL VALERAT, SİPROTERON ASETAT",BAYER TÜRK KİMYA SAN. LTD. ŞTİ
2770,CLIN 150 MG KAPSüL,KLINDAMISIN HIDROKLORüR,MENARİNİ İLAÇ SANAYİ VE TİCARET A.Ş.
2771,CLIN 300MG/2ML ENJEKSIYONLUK ÇöZELTI,KLINDAMISIN FOSFAT,MENARİNİ İLAÇ SANAYİ VE TİCARET A.Ş.
2772,CLIN 600 MG/4 ML ENJEKSIYONLUK ÇöZELTI,KLINDAMISIN FOSTAT,MENARİNİ İLAÇ SANAYİ VE TİCARET A.Ş.
2773,CLIN AMPUL,KLİNDAMİSİN FOSFAT,İ.E.ULAGAY İLAÇ SAN.TÜRK A.Ş.
2774,CLINDATRE  12 MG/G + 0.25 MG/G JEL,"KLINDAMISIN FOSFAT, TRETINOIN",ASSOS İlaç Kimya Gıda Ürünleri Üretim ve Tic. A.Ş.
2775,CLINDOXYL %5+%1 JEL,KLINDAMISIN FOSFAT + BENZOIL PEROKSIT,GLAXOSMITHKLINE ILAÇLARI SAN. VE TIC. A.Ş.
2776,CLINIMIX-2 İNFÜZYON İÇİN ENJEKTABL SOLÜSYON,ESANSİYEL AMİNO ASİTLER,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SAN VE TİC AŞ
2777,CLINOLEIC %20 IV İNFÜZYONLUK LİPİD EMÜLSİYON,"SAF ZEYTİNYAĞI, SAF SOYA YAĞI",BAXTER TURKEY RENAL HİZMETLER A.Ş.
2778,CLİNOPER  %1  +%5  JEL,KLİNDAMİSİN FOSFAT,ARGİS İLAÇ SAN. VE TİC. A.Ş.
2779,"CLIORO  %0,15 + %0,12 GARGARA","KLORHEKSIDIN GLUKONAT, BENZIDAMIN HCL",HELBA İLAÇ İÇ VE DIŞ SAN. TİC. A.Ş.
2780,"CLİORO  %0,15 + %0,12 ORAL SPREY","KLORHEKSİDİN GLUKONAT, BENZİDAMİN HİDROKLORÜR",HELBA İLAÇ İÇ VE DIŞ SAN. TİC. LTD. ŞTİ.
2781,CLOBESOL %0.05 KREM,KLOBETAZOL 17-PROPİYONAT,BİOFARMA İLAÇ SAN. VE TİC. A.Ş.
2782,CLOBESOL %0.05 MERHEM,KLOBETAZOL 17-PROPİYONAT,BİOFARMA İLAÇ SAN. VE TİC. A.Ş.
2783,"CLODER PLUS 1,5 MG/ML + 1,2 MG/ML GARGARA","KLORHEKSİDİN GLUKONAT, BENZİDAMİN HCL",NOBEL İLAÇ SAN. VE TİC. A.Ş.
2784,"CLODER PLUS 1,5 MG/ML + 1,2 MG/ML ORAL SPREY","KLORHEKSİDİN GLUKONAT, BENZİDAMİN HİDROKLORÜR",NOBEL İLAÇ SAN. VE TİC. A.Ş.
2785,CLODER PLUS GARGARA,"KLORHEKSİDİN GLUKONAT, BENZİDAMİN HCL",NOBEL İLAÇ SAN. VE TİC. A.Ş.
2786,"CLODİFEN % 0.1 GöZ DAMLASı, ÇöZELTI",DIKLOFENAK SODYUM,WORLD MEDİCİNE İLAÇ SANAYİ VE TİCARET A.Ş.
2787,CLODİFEN % 1 JEL,DİKLOFENAK SODYUM,WORLD MEDİCİNE İLAÇ SAN. VE TİC. A.Ş.
